,Unnamed: 0,duration_connection,service,source_bytes,destination_bytes,count,same_srv_rate,serror_rate,srv_serror_rate,dst_host_count,dst_host_srv_count,dst_host_same_src_port_rate,dst_host_serror_rate,dst_host_srv_serror_rate,flag,IDS_detection,malware_detection,ashula_detection,label,source_IP_address,source_port_number,destination_IP_address,destination_port_number,duration
236604,236604,0.642945,3,0,0,0,0.0,0.0,0.33,1,1,1.0,0.0,0.0,4,44,1,4,-1,3844,445,323,1642,1
236967,236967,12.673009,3,1923,1019,0,0.0,0.0,1.0,4,4,0.0,0.0,0.0,8,44,1,5,-1,3625,1714,346,445,1
237003,237003,0.0,3,0,0,0,0.0,0.0,0.5,0,0,0.0,0.0,0.0,9,44,1,5,-1,3844,445,323,1714,1
237023,237023,0.458513,3,0,0,0,0.0,0.0,0.86,0,0,0.0,0.0,0.0,4,44,1,5,-1,3844,445,323,1714,1
241396,241396,7.879662,3,1923,1019,0,0.0,0.0,1.0,1,3,0.0,0.0,0.0,8,44,1,4,-1,3625,3268,346,445,1
241409,241409,0.0,3,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,9,44,1,4,-1,3844,445,323,3268,1
241416,241416,0.0,3,0,0,0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,9,44,1,4,-1,3844,445,323,3268,1
241431,241431,0.450111,3,0,0,0,0.0,0.0,0.6,2,2,1.0,0.0,0.0,4,44,1,4,-1,3844,445,323,3268,1
13832,13832,176.020239,3,4219,2358,1,1.0,0.0,0.5,1,1,0.0,0.0,0.0,4,46,1,7,-1,4226,1337,280,445,1
33282,33282,16.195825,3,7635,9691,1,1.0,0.0,0.67,0,38,0.0,0.0,0.79,8,21,1,1,-1,7146,34377,279,445,1
104978,104978,6.855521,3,2555,1584,1,1.0,0.0,0.86,1,1,0.0,0.0,0.0,8,19,1,6,-1,1724,2437,302,445,1
105027,105027,25.589947,3,1933,1019,1,1.0,0.0,0.5,2,2,0.0,0.0,0.0,8,0,1,7,-1,1724,2460,302,445,1
253912,253912,6.477574,3,2555,1584,1,1.0,0.0,0.0,0,0,0.0,0.0,0.0,8,42,1,6,-1,6557,1606,250,445,1
253918,253918,25.27506,3,1933,1019,1,1.0,0.0,0.0,1,1,0.0,0.0,0.0,8,0,1,7,-1,6557,1622,250,445,1
59847,59847,5.940717,3,2628,2705,0,0.0,0.0,0.6,0,0,0.0,0.0,0.0,8,19,1,3,-1,8737,2795,285,445,1
60126,60126,64.621732,3,2006,2140,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,8,0,1,4,-1,8737,2805,285,445,1
60438,60438,777.261112,3,19407,15727,0,0.0,0.0,1.0,2,4,0.0,0.0,0.0,4,20,1,3,-1,8737,2887,285,445,1
28715,28715,6.316332,3,2545,1584,0,0.0,0.0,1.0,1,3,0.0,0.0,0.0,8,40,1,6,-1,12059,1383,333,445,1
28721,28721,17.890755,3,1923,1019,0,0.0,0.0,1.0,2,4,0.0,0.0,0.0,8,0,1,7,-1,12059,1408,333,445,1
191298,191298,5.698655,3,2589,1584,1,1.0,0.0,0.83,0,3,0.0,0.0,0.0,10,20,1,6,-1,7622,25550,274,445,1
191316,191316,24.915015,3,1967,1019,1,1.0,0.0,0.4,1,4,0.0,0.0,0.0,10,0,1,7,-1,7622,25563,274,445,1
191721,191721,6.586254,3,2559,1584,0,0.0,0.0,0.75,0,2,0.0,0.0,0.0,10,47,1,6,-1,3869,1046,274,445,1
191730,191730,18.155685,3,1937,1019,0,0.0,0.0,0.67,1,3,0.0,0.0,0.0,10,0,1,7,-1,3869,1063,274,445,1
199400,199400,371.762564,3,3523,2265,1,1.0,0.0,0.5,1,3,0.0,0.0,0.0,4,21,1,6,-1,10669,3514,274,445,1
157781,157781,4.20806,3,2573,1584,1,1.0,0.0,0.5,1,1,0.0,0.0,0.0,8,44,1,5,-1,11903,2615,267,445,1
157789,157789,24.073215,3,1951,1019,1,1.0,0.0,0.75,2,2,0.0,0.0,0.0,8,0,1,6,-1,11903,2630,267,445,1
57358,57358,5.875679,3,2555,1584,1,1.0,0.0,0.25,0,0,0.0,0.0,0.0,8,37,1,5,-1,773,2672,580,445,1
57364,57364,25.115587,3,1933,1019,1,1.0,0.0,0.5,1,1,0.0,0.0,0.0,8,0,1,6,-1,773,2921,580,445,1
138757,138757,29.502237,6,42541,174,2,1.0,0.0,0.0,0,29,0.0,0.0,0.0,8,0,2,0,-1,5300,2933,842,25,1
138758,138758,30.142223,6,40752,174,3,1.0,0.0,0.0,1,30,0.0,0.0,0.0,8,5,2,0,-1,5300,1703,842,25,1
279067,279067,148.91904,3,4303,2436,1,1.0,0.0,0.33,0,0,0.0,0.0,0.0,4,16,1,7,-1,9982,2042,552,445,1
34337,34337,3.446501,3,1937,1019,0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,8,97,1,2,-1,5713,29877,518,445,1
34366,34366,3.351823,3,1937,1019,0,0.0,0.0,1.0,3,3,0.0,0.0,0.0,8,0,1,3,-1,5713,29887,518,445,1
42053,42053,3.297408,3,1937,1019,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,8,97,1,2,-1,5713,12213,518,445,1
42069,42069,3.308627,3,1937,1019,0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,8,0,1,3,-1,5713,12219,518,445,1
128393,128393,3.311137,3,1937,1019,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,8,97,1,2,-1,5713,28241,518,445,1
128425,128425,3.296883,3,1937,1019,0,0.0,0.0,1.0,3,3,0.0,0.0,0.0,8,0,1,3,-1,5713,28248,518,445,1
150721,150721,4.208159,2,148,151926,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,11,0,-1,11312,1040,334,5312,1
150813,150813,180.077663,2,150,159951,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,1,0,-1,11312,1042,938,6681,1
152803,152803,2.544061,2,152,144626,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,11312,1044,967,7537,1
152878,152878,4.865423,2,150,162241,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,10,0,-1,11312,1046,600,3986,1
155101,155101,5.493688,2,149,167489,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,6,0,-1,7124,1049,1001,5792,1
156707,156707,2.448144,2,150,135866,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,12,0,-1,7124,1053,289,2005,1
158652,158652,3.613466,2,150,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,11312,1058,494,8456,1
159632,159632,4.076165,2,153,169129,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,3,0,-1,11312,1062,662,7725,1
159874,159874,4.75316,2,151,167410,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,9,0,-1,7124,1064,211,6710,1
160098,160098,3.491075,2,150,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,11312,1064,494,8456,1
161508,161508,180.057827,2,153,164832,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,5,0,-1,11312,1071,885,3403,1
163704,163704,4.871578,2,151,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,11312,1077,636,4012,1
165133,165133,1.343779,2,150,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,11312,1084,1025,5984,1
167693,167693,180.041126,2,150,167489,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,13,0,-1,7124,1082,538,4742,1
169494,169494,6.134437,2,153,174413,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,7,0,-1,11312,1088,309,2273,1
171026,171026,5.218653,2,151,171675,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,1,0,-1,11312,1095,116,4403,1
172506,172506,184.537993,3,4343,2436,0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,4,14,2,3,-1,13831,2656,537,445,1
178946,178946,180.041184,2,150,159952,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,1,0,-1,11312,1103,938,6681,1
178958,178958,180.048834,2,150,159951,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,1,0,-1,7124,1117,938,6681,1
180564,180564,2.514458,2,152,144626,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,11312,1105,967,7537,1
180574,180574,2.580357,2,152,144626,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,4,0,-1,7124,1123,967,7537,1
180948,180948,4.674544,2,150,162241,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,10,0,-1,11312,1107,600,3986,1
180971,180971,9.016816,2,150,162241,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,10,0,-1,7124,1125,600,3986,1
182736,182736,3.913948,2,150,169909,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,8,0,-1,11312,1112,773,3219,1
184345,184345,12.581758,3,7520,9629,1,1.0,0.0,0.83,0,4,0.0,0.0,0.0,8,13,2,1,-1,592,58072,876,445,1
1124,1124,4.474449,2,150,168858,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,7848,1143,209,5006,1
1343,1343,4.163524,2,153,169130,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,9,0,-1,12729,1121,688,7725,1
1356,1356,4.081936,2,153,169130,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,9,0,-1,7848,1145,688,7725,1
6651,6651,1.291728,2,150,160986,0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,10,0,10,0,-1,12729,1126,1087,5984,1
6662,6662,1.375242,2,150,160986,0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,10,0,10,0,-1,7848,1159,1087,5984,1
7871,7871,4.20616,2,150,160164,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,13,0,-1,12729,1128,931,1464,1
8979,8979,180.027932,2,150,167490,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,36,0,-1,12729,1133,555,4742,1
8994,8994,180.67055,2,150,167489,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,36,0,-1,7848,1167,555,4742,1
9904,9904,180.067746,2,153,164832,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,15,0,-1,12729,1135,929,3403,1
9917,9917,180.06843,2,153,164832,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,15,0,-1,7848,1173,929,3403,1
16323,16323,11.801884,2,150,158359,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,6,0,-1,12729,1142,665,6508,1
21876,21876,6.749336,2,150,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,12729,1149,1064,6675,1
26316,26316,2.660892,2,149,163118,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,5,0,-1,7848,1206,439,9631,1
27590,27590,4.592805,2,150,169909,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,18,0,-1,12729,1159,812,3219,1
27603,27603,5.199033,2,150,169908,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,18,0,-1,7848,1216,812,3219,1
32054,32054,4.277967,2,151,161900,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,19,0,-1,12729,1164,755,9731,1
32733,32733,14.243843,3,8052,10016,1,1.0,0.0,0.33,0,0,0.0,0.0,0.0,10,17,2,1,-1,679,52272,554,445,1
35499,35499,4.30756,2,150,168858,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,10,0,10,0,-1,12729,1166,209,5006,1
35514,35514,4.373338,2,150,168858,0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,10,0,10,0,-1,7848,1232,209,5006,1
39262,39262,1.994078,2,150,160164,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,13,0,-1,12729,1171,931,1464,1
39271,39271,1.197181,2,150,160164,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,13,0,-1,7848,1241,931,1464,1
44441,44441,12.772109,2,150,169908,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,18,0,-1,12729,1180,513,7671,1
52218,52218,6.815662,2,150,160986,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,12729,1190,1064,6675,1
52248,52248,2.994877,3,0,0,0,0.0,0.0,0.75,0,0,0.0,0.0,0.0,6,0,10,0,-1,7848,1270,1064,6675,1
52262,52262,23.073585,2,150,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,7848,1270,1064,6675,1
77754,77754,4.960665,2,152,165274,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,1,0,-1,12729,1208,788,1094,1
77996,77996,2.921196,2,152,162241,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,22,0,-1,7848,1314,381,9771,1
114491,114491,4.556373,2,151,158847,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,1,0,-1,12729,1234,1061,5292,1
117243,117243,4.853581,2,152,165274,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,1,0,-1,12729,1242,788,1094,1
117255,117255,4.942833,2,152,165274,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,1,0,-1,7848,1382,788,1094,1
117591,117591,2.972308,2,152,162241,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,22,0,-1,12729,1246,381,9771,1
117604,117604,2.747349,2,152,162241,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,22,0,-1,7848,1384,381,9771,1
118601,118601,1.361614,2,153,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,7848,1392,1052,3381,1
120925,120925,4.569441,2,152,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,12729,1251,591,7957,1
124325,124325,180.081051,2,148,168457,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,3,0,-1,12729,1256,877,8741,1
125400,125400,1.412972,2,153,162483,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,37,0,-1,12729,1260,359,9026,1
129458,129458,4.513417,2,150,159740,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,1,0,-1,12729,1269,19,8031,1
137011,137011,2.659784,2,149,164314,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,29,0,-1,12729,1283,125,8105,1
139431,139431,2.565426,2,146,164907,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,12,0,-1,12729,1285,825,80,1
139452,139452,3.437997,2,153,165067,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,31,0,-1,12729,1287,81,8487,1
139476,139476,2.216568,2,151,168118,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,34,0,-1,12729,1289,599,7469,1
140273,140273,2.982708,2,150,164314,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,29,0,-1,12729,1293,634,1963,1
152017,152017,180.066498,2,150,165111,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,32,0,-1,12729,1300,324,8965,1
162351,162351,1.09509,2,153,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,12729,1307,1052,3381,1
162361,162361,1.670498,2,153,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,7848,1460,1052,3381,1
163421,163421,0.971555,2,149,164279,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,26,0,-1,12729,1312,372,9266,1
163659,163659,5.634577,2,148,170279,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,4,0,-1,12729,1314,999,4591,1
165016,165016,4.435961,2,152,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,12729,1316,591,7957,1
165037,165037,4.408356,2,152,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,7848,1468,591,7957,1
165162,165162,4.698361,2,151,158358,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,6,0,-1,12729,1318,991,1296,1
171306,171306,21.486313,2,151,167784,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,1,0,-1,7848,1482,391,6397,1
171367,171367,19.541727,2,150,165111,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,32,0,-1,7848,1484,182,2221,1
171555,171555,6.50758,2,152,165066,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,11,0,-1,12729,1327,1033,4336,1
171965,171965,4.847009,2,153,157217,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,4,0,-1,7848,1486,1055,2103,1
174001,174001,180.731214,2,148,168457,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,3,0,-1,12729,1334,912,6153,1
174144,174144,4.316054,2,150,159739,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,1,0,-1,12729,1336,19,8031,1
174157,174157,4.540421,2,150,159739,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,1,0,-1,7848,1490,19,8031,1
174861,174861,4.464047,2,149,160426,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,35,0,-1,12729,1340,1099,7236,1
175190,175190,128.487763,2,150,165111,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,32,0,-1,7848,1498,182,2221,1
177215,177215,2.998188,2,153,166326,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,28,0,-1,12729,1346,338,4681,1
178997,178997,6.920417,2,154,160985,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,12729,1351,361,1444,1
179022,179022,4.230663,2,147,155276,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,33,0,-1,12729,1353,691,5284,1
179526,179526,3.981507,2,154,167210,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,14,0,-1,12729,1357,1031,6411,1
179730,179730,2.386788,2,151,130026,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,10,0,-1,12729,1359,531,7537,1
179767,179767,2.713679,2,150,170279,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,20,0,-1,12729,1361,530,3488,1
183914,183914,2.862819,2,149,164314,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,29,0,-1,12729,1363,125,8105,1
183926,183926,2.673922,2,149,164314,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,29,0,-1,7848,1512,125,8105,1
186103,186103,180.892765,2,152,165926,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,8,0,17,0,-1,7848,1520,734,5093,1
187855,187855,2.615113,2,146,164907,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,12,0,-1,12729,1368,825,80,1
187872,187872,2.786248,2,146,164907,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,10,0,12,0,-1,7848,1524,825,80,1
188116,188116,3.46092,2,153,165066,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,31,0,-1,12729,1370,81,8487,1
188141,188141,3.387766,2,153,165067,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,31,0,-1,7848,1526,81,8487,1
189061,189061,2.684318,2,150,164315,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,29,0,-1,12729,1372,634,1963,1
189099,189099,2.608025,2,150,164314,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,29,0,-1,7848,1528,634,1963,1
189467,189467,6.779834,2,152,170591,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,25,0,-1,7848,1531,618,1461,1
190599,190599,180.071336,2,149,167852,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,23,0,-1,7848,1534,23,3594,1
190796,190796,20.210606,2,154,1081431,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,72,7,0,-1,12729,1379,849,1066,1
192714,192714,2.846117,2,151,168119,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,34,0,-1,12729,1381,599,7469,1
192721,192721,2.811938,2,151,168118,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,34,0,-1,7848,1544,599,7469,1
193322,193322,180.073275,2,150,165111,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,32,0,-1,12729,1386,324,8965,1
193342,193342,180.055694,2,150,165111,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,32,0,-1,7848,1547,324,8965,1
195276,195276,180.070954,2,155,168182,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,0,1,0,-1,12729,1388,112,3560,1
196438,196438,5.334718,2,150,161854,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,8,0,-1,12729,1393,973,9138,1
196905,196905,11.682997,2,153,170279,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,20,0,-1,12729,1395,77,1401,1
199460,199460,3.705805,2,150,164279,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,22,0,-1,12729,1402,979,4661,1
199485,199485,51.666515,2,152,2435038,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,10,0,7,0,-1,12729,1404,1094,5271,1
