,type,rcvTime,pos,noise,spd,spd_noise,sendTime,sender,messageID,pos_noise,RSSI
10,3,10800.670748173432,"[3822.8920061526037, 5266.806009069768, 1.895]",,"[1.30536212587596, -0.9887296651368701, 0.0]","[0.0, 0.0, 0.0]",10800.6706378737,43.0,172.0,"[0.0, 0.0, 0.0]",1.746130740340401e-08
11,2,10800.699999999999,"[3608.3401442045947, 5455.973750482529, 1.895]","[0.0, 0.0, 0.0]","[-3.534611152351565, 30.627029612675077, 0.0]","[0.0, 0.0, 0.0]",,,,,
12,2,10800.8,"[3607.9872430966025, 5459.031601040609, 1.895]","[0.0, 0.0, 0.0]","[-3.533251148172808, 30.615245321120344, 0.0]","[0.0, 0.0, 0.0]",,,,,
13,3,10800.870127664493,"[3617.100033807479, 5417.782781289675, 1.895]",,"[4.9379503396949564, -39.87757802978829, 0.0]","[0.0, 0.0, 0.0]",10800.870012145257,19.0,193.0,"[0.0, 0.0, 0.0]",3.7103977854118566e-07
14,2,10800.9,"[3607.6351765763884, 5462.082219984382, 1.895]","[0.0, 0.0, 0.0]","[-3.524895242912089, 30.542842290995626, 0.0]","[0.0, 0.0, 0.0]",,,,,
15,2,10801.0,"[3607.2824720274557, 5465.13836737912, 1.895]","[0.0, 0.0, 0.0]","[-3.531283195939933, 30.598193224379106, 0.0]","[0.0, 0.0, 0.0]",,,,,
16,2,10801.1,"[3606.9303801159954, 5468.189206335339, 1.895]","[0.0, 0.0, 0.0]","[-3.525149460446397, 30.54504505887974, 0.0]","[0.0, 0.0, 0.0]",,,,,
17,2,10801.199999999999,"[3606.5780479372474, 5471.242127182042, 1.895]","[0.0, 0.0, 0.0]","[-3.527555020106884, 30.565888977406637, 0.0]","[0.0, 0.0, 0.0]",,,,,
18,2,10801.3,"[3606.2263328205804, 5474.289701251462, 1.895]","[0.0, 0.0, 0.0]","[-3.5213769853663672, 30.512356963638393, 0.0]","[0.0, 0.0, 0.0]",,,,,
19,3,10801.392901556192,"[3593.982139694547, 5580.895411836837, 1.895]",,"[-3.166224942512135, 38.65076393787597, 0.0]","[0.0, 0.0, 0.0]",10801.392784793165,13.0,257.0,"[0.0, 0.0, 0.0]",2.4920116556467508e-08
20,2,10801.4,"[3605.873369762498, 5477.348088600482, 1.895]","[0.0, 0.0, 0.0]","[-3.533871393396689, 30.620619680001727, 0.0]","[0.0, 0.0, 0.0]",,,,,
21,3,10801.456265790384,"[3598.0910889609227, 5662.1851420599705, 1.895]",,"[1.282719421597081, -29.869870894753344, 0.0]","[0.0, 0.0, 0.0]",10801.456150335958,31.0,317.0,"[0.0, 0.0, 0.0]",9.640261643785642e-09
22,2,10801.5,"[3605.52122467384, 5480.399388331461, 1.895]","[0.0, 0.0, 0.0]","[-3.525681871339268, 30.549658342633258, 0.0]","[0.0, 0.0, 0.0]",,,,,
23,3,10801.582126247231,"[3598.458786986237, 5730.5230103800095, 1.895]",,"[1.459861591293167, -34.0257489797638, 0.0]","[0.0, 0.0, 0.0]",10801.58201979124,25.0,350.0,"[0.0, 0.0, 0.0]",8.708451187475431e-09
24,2,10801.6,"[3605.2703538109154, 5483.457521623028, 1.895]","[0.0, 0.0, 0.0]","[-2.832658427743525, 30.5901124516879, 0.0]","[0.0, 0.0, 0.0]",,,,,
25,3,10801.670756171652,"[3825.1961086986253, 5265.1973348684, 1.895]",,"[3.057783376452038, -2.2014119284437212, 0.0]","[0.0, 0.0, 0.0]",10801.6706378737,43.0,381.0,"[0.0, 0.0, 0.0]",1.12642577828173e-08
26,2,10801.699999999999,"[3605.0195105762646, 5486.519656015667, 1.895]","[0.0, 0.0, 0.0]","[-2.511446200562803, 30.658135136527374, 0.0]","[0.0, 0.0, 0.0]",,,,,
27,2,10801.8,"[3604.768875185504, 5489.579253182521, 1.895]","[0.0, 0.0, 0.0]","[-2.509365264439321, 30.632732394165647, 0.0]","[0.0, 0.0, 0.0]",,,,,
28,3,10801.870118306302,"[3622.053411372471, 5377.780617077725, 1.895]",,"[4.947129899297883, -39.95170971986224, 0.0]","[0.0, 0.0, 0.0]",10801.870012145257,19.0,410.0,"[0.0, 0.0, 0.0]",5.939836493343719e-09
29,2,10801.9,"[3604.517661939982, 5492.645904432133, 1.895]","[0.0, 0.0, 0.0]","[-2.515150754911481, 30.703357975789043, 0.0]","[0.0, 0.0, 0.0]",,,,,
30,2,10802.0,"[3604.266510233304, 5495.711804454754, 1.895]","[0.0, 0.0, 0.0]","[-2.514534627096601, 30.695836679969236, 0.0]","[0.0, 0.0, 0.0]",,,,,
31,2,10802.1,"[3604.0149431297486, 5498.782775377795, 1.895]","[0.0, 0.0, 0.0]","[-2.518693586815111, 30.74660661047736, 0.0]","[0.0, 0.0, 0.0]",,,,,
32,2,10802.199999999999,"[3603.7636516379307, 5501.850381808341, 1.895]","[0.0, 0.0, 0.0]","[-2.515934157996141, 30.71292126152876, 0.0]","[0.0, 0.0, 0.0]",,,,,
33,2,10802.3,"[3603.512187739599, 5504.920092867765, 1.895]","[0.0, 0.0, 0.0]","[-2.517660294578894, 30.733992837183557, 0.0]","[0.0, 0.0, 0.0]",,,,,
34,3,10802.392895062767,"[3590.8061736716168, 5619.665087161795, 1.895]",,"[-3.174213872618352, 38.74828646303853, 0.0]","[0.0, 0.0, 0.0]",10802.392784793165,13.0,439.0,"[0.0, 0.0, 0.0]",2.2692792540808153e-09
35,2,10802.4,"[3603.260815074918, 5507.988690204909, 1.895]","[0.0, 0.0, 0.0]","[-2.516746861911964, 30.722842233147297, 0.0]","[0.0, 0.0, 0.0]",,,,,
36,3,10802.456258892427,"[3599.8680687225988, 5632.305432029379, 1.895]",,"[2.507947203533661, -29.791207268132045, 0.0]","[0.0, 0.0, 0.0]",10802.456150335958,31.0,493.0,"[0.0, 0.0, 0.0]",2.540990995999349e-09
37,2,10802.5,"[3603.0095467169926, 5511.056014231632, 1.895]","[0.0, 0.0, 0.0]","[-2.515702541116066, 30.710093830229575, 0.0]","[0.0, 0.0, 0.0]",,,,,
38,3,10802.582132323316,"[3599.907312274775, 5696.761482470395, 1.895]",,"[1.439896144434641, -33.56040398601323, 0.0]","[0.0, 0.0, 0.0]",10802.58201979124,25.0,521.0,"[0.0, 0.0, 0.0]",2.8811284242727224e-09
39,2,10802.6,"[3602.758240405416, 5514.123801572355, 1.895]","[0.0, 0.0, 0.0]","[-2.516082533641357, 30.71473253691152, 0.0]","[0.0, 0.0, 0.0]",,,,,
40,3,10802.670747302518,"[3829.3667362201413, 5262.327980580308, 1.895]",,"[5.060284391720792, -3.481430226852285, 0.0]","[0.0, 0.0, 0.0]",10802.6706378737,43.0,549.0,"[0.0, 0.0, 0.0]",2.2725860453197123e-09
41,2,10802.699999999999,"[3602.5075774981856, 5517.183734642734, 1.895]","[0.0, 0.0, 0.0]","[-2.5096407597427133, 30.63609546526908, 0.0]","[0.0, 0.0, 0.0]",,,,,
42,2,10802.8,"[3602.2566946091247, 5520.24635311115, 1.895]","[0.0, 0.0, 0.0]","[-2.511843221107921, 30.662981710400643, 0.0]","[0.0, 0.0, 0.0]",,,,,
43,3,10802.870122519931,"[3627.003043329184, 5337.808701405376, 1.895]",,"[4.940952624413968, -39.90182368532391, 0.0]","[0.0, 0.0, 0.0]",10802.870012145257,19.0,573.0,"[0.0, 0.0, 0.0]",1.263652439168768e-08
44,2,10802.9,"[3602.0053709750964, 5523.314351913323, 1.895]","[0.0, 0.0, 0.0]","[-2.516255966285852, 30.716849692100663, 0.0]","[0.0, 0.0, 0.0]",,,,,
45,2,10803.0,"[3601.7537570244644, 5526.385894715631, 1.895]","[0.0, 0.0, 0.0]","[-2.519162620443497, 30.75233227422271, 0.0]","[0.0, 0.0, 0.0]",,,,,
46,2,10803.1,"[3601.5022409510702, 5529.456242694973, 1.895]","[0.0, 0.0, 0.0]","[-2.5181826720783773, 30.740369688888936, 0.0]","[0.0, 0.0, 0.0]",,,,,
47,2,10803.199999999999,"[3601.2509427433984, 5532.523931108387, 1.895]","[0.0, 0.0, 0.0]","[-2.5160013972267823, 30.7137420752173, 0.0]","[0.0, 0.0, 0.0]",,,,,
48,2,10803.3,"[3600.999306579303, 5535.595745078502, 1.895]","[0.0, 0.0, 0.0]","[-2.519385021971341, 30.755047210340933, 0.0]","[0.0, 0.0, 0.0]",,,,,
49,3,10803.39289933027,"[3588.263021778535, 5658.4090838301045, 1.895]",,"[-1.620634026797085, 38.77583958314621, 0.0]","[0.0, 0.0, 0.0]",10803.392784793165,13.0,603.0,"[0.0, 0.0, 0.0]",2.657969852846446e-09
50,2,10803.4,"[3600.748307296057, 5538.659784412973, 1.895]","[0.0, 0.0, 0.0]","[-2.513008561419944, 30.677207442506138, 0.0]","[0.0, 0.0, 0.0]",,,,,
51,3,10803.456262756155,"[3602.3790971430108, 5602.477623842976, 1.895]",,"[2.512383221802747, -29.84390149528553, 0.0]","[0.0, 0.0, 0.0]",10803.456150335958,31.0,659.0,"[0.0, 0.0, 0.0]",1.391584523856086e-08
52,2,10803.5,"[3600.497622490163, 5541.719984808287, 1.895]","[0.0, 0.0, 0.0]","[-2.509860009490429, 30.638771926501896, 0.0]","[0.0, 0.0, 0.0]",,,,,
53,3,10803.58213616369,"[3601.336889391266, 5663.441589404483, 1.895]",,"[1.423817363474826, -33.1856475240909, 0.0]","[0.0, 0.0, 0.0]",10803.58201979124,25.0,689.0,"[0.0, 0.0, 0.0]",2.6586320624373185e-08
54,2,10803.6,"[3600.246160755254, 5544.789669458024, 1.895]","[0.0, 0.0, 0.0]","[-2.51763863435698, 30.733728423000695, 0.0]","[0.0, 0.0, 0.0]",,,,,
55,3,10803.670746161344,"[3835.37483477866, 5258.194462716815, 1.895]",,"[6.940681231823946, -4.775126369369575, 0.0]","[0.0, 0.0, 0.0]",10803.6706378737,43.0,717.0,"[0.0, 0.0, 0.0]",5.47572745860399e-09
56,2,10803.699999999999,"[3599.994731607561, 5547.858956303795, 1.895]","[0.0, 0.0, 0.0]","[-2.517312370669971, 30.729745603777165, 0.0]","[0.0, 0.0, 0.0]",,,,,
57,2,10803.8,"[3599.7435618343075, 5550.925076871653, 1.895]","[0.0, 0.0, 0.0]","[-2.514715509914528, 30.698044782167347, 0.0]","[0.0, 0.0, 0.0]",,,,,
58,3,10803.870121474632,"[3632.6264555128014, 5297.923544243891, 1.895]",,"[6.251120541940336, -39.70526627774028, 0.0]","[0.0, 0.0, 0.0]",10803.870012145257,19.0,741.0,"[0.0, 0.0, 0.0]",1.253964262182018e-08
59,2,10803.9,"[3599.492914252747, 5553.98482285602, 1.895]","[0.0, 0.0, 0.0]","[-2.5094873189088522, 30.634222357334934, 0.0]","[0.0, 0.0, 0.0]",,,,,
60,2,10804.0,"[3599.241272083295, 5557.056710135707, 1.895]","[0.0, 0.0, 0.0]","[-2.519445147692109, 30.755781186871424, 0.0]","[0.0, 0.0, 0.0]",,,,,
61,2,10804.1,"[3598.9905626285727, 5560.117211428211, 1.895]","[0.0, 0.0, 0.0]","[-2.5101067939243853, 30.641784513641582, 0.0]","[0.0, 0.0, 0.0]",,,,,
62,2,10804.199999999999,"[3598.7393468470386, 5563.183893635848, 1.895]","[0.0, 0.0, 0.0]","[-2.515176145506223, 30.70366792799293, 0.0]","[0.0, 0.0, 0.0]",,,,,
63,2,10804.3,"[3598.487756708723, 5566.255145752571, 1.895]","[0.0, 0.0, 0.0]","[-2.518924211180936, 30.749421925807326, 0.0]","[0.0, 0.0, 0.0]",,,,,
64,3,10804.392901241848,"[3586.64159530315, 5697.203883806994, 1.895]",,"[-1.621225568545202, 38.789993011627246, 0.0]","[0.0, 0.0, 0.0]",10804.392784793165,13.0,765.0,"[0.0, 0.0, 0.0]",4.48333384212791e-09
65,2,10804.4,"[3598.236828631525, 5569.318315848973, 1.895]","[0.0, 0.0, 0.0]","[-2.512295645406398, 30.668504618022215, 0.0]","[0.0, 0.0, 0.0]",,,,,
66,3,10804.456264291483,"[3604.8903207624435, 5572.647496941699, 1.895]",,"[2.512135442474528, -29.84095819356318, 0.0]","[0.0, 0.0, 0.0]",10804.456150335958,31.0,817.0,"[0.0, 0.0, 0.0]",2.451456254e-06
67,2,10804.5,"[3597.9855488450653, 5572.385779387965, 1.895]","[0.0, 0.0, 0.0]","[-2.515816963772879, 30.711490629155673, 0.0]","[0.0, 0.0, 0.0]",,,,,
68,3,10804.582137665624,"[3603.3237298505082, 5630.548546019835, 1.895]",,"[2.755088564557343, -32.72468568251772, 0.0]","[0.0, 0.0, 0.0]",10804.58201979124,25.0,847.0,"[0.0, 0.0, 0.0]",3.16802267749547e-08
69,2,10804.6,"[3597.7341832241186, 5575.454290739683, 1.895]","[0.0, 0.0, 0.0]","[-2.516676339934084, 30.721981345771944, 0.0]","[0.0, 0.0, 0.0]",,,,,
70,2,10804.699999999999,"[3597.483287702747, 5578.5170634153, 1.895]","[0.0, 0.0, 0.0]","[-2.511969695991748, 30.664525635197165, 0.0]","[0.0, 0.0, 0.0]",,,,,
71,2,10804.8,"[3597.231691293367, 5581.58839208518, 1.895]","[0.0, 0.0, 0.0]","[-2.518986997166825, 30.750188377159347, 0.0]","[0.0, 0.0, 0.0]",,,,,
72,3,10804.870128356044,"[3638.8903273693572, 5258.137285392278, 1.895]",,"[6.264281173056467, -39.788858708809975, 0.0]","[0.0, 0.0, 0.0]",10804.870012145257,19.0,887.0,"[0.0, 0.0, 0.0]",6.41009289350588e-09
73,2,10804.9,"[3596.9804560640223, 5584.6553116993, 1.895]","[0.0, 0.0, 0.0]","[-2.515370857274226, 30.706044845241227, 0.0]","[0.0, 0.0, 0.0]",,,,,
74,2,10805.0,"[3596.728883163366, 5587.726353389653, 1.895]","[0.0, 0.0, 0.0]","[-2.518751627474209, 30.747315133865055, 0.0]","[0.0, 0.0, 0.0]",,,,,
75,2,10805.1,"[3596.478188759209, 5590.786670954449, 1.895]","[0.0, 0.0, 0.0]","[-2.50995610744308, 30.639945029088608, 0.0]","[0.0, 0.0, 0.0]",,,,,
76,2,10805.199999999999,"[3596.2268462515894, 5593.854900153402, 1.895]","[0.0, 0.0, 0.0]","[-2.516444928961966, 30.719156428098024, 0.0]","[0.0, 0.0, 0.0]",,,,,
77,2,10805.3,"[3595.975326723482, 5596.925290305684, 1.895]","[0.0, 0.0, 0.0]","[-2.518217260720511, 30.740791924988955, 0.0]","[0.0, 0.0, 0.0]",,,,,
78,3,10805.392903190806,"[3585.0196044733407, 5736.012186719338, 1.895]",,"[-1.621549823375411, 38.79775124279594, 0.0]","[0.0, 0.0, 0.0]",10805.392784793165,13.0,907.0,"[0.0, 0.0, 0.0]",2.244049461036279e-09
79,2,10805.4,"[3595.7246189006128, 5599.985771677571, 1.895]","[0.0, 0.0, 0.0]","[-2.5100904557897943, 30.641585068141975, 0.0]","[0.0, 0.0, 0.0]",,,,,
80,3,10805.456266580086,"[3607.4017884206087, 5542.81447117219, 1.895]",,"[2.509995247896261, -29.815535417470507, 0.0]","[0.0, 0.0, 0.0]",10805.456150335958,31.0,957.0,"[0.0, 0.0, 0.0]",1.452820938322101e-07
81,2,10805.5,"[3595.4740357446576, 5603.044731195195, 1.895]","[0.0, 0.0, 0.0]","[-2.508842288788403, 30.62634824057665, 0.0]","[0.0, 0.0, 0.0]",,,,,
82,3,10805.5821266196,"[3606.059551231734, 5598.052714148646, 1.895]",,"[2.725295613140606, -32.370807777026926, 0.0]","[0.0, 0.0, 0.0]",10805.58201979124,25.0,985.0,"[0.0, 0.0, 0.0]",2.693800293e-06
83,2,10805.6,"[3595.222538400652, 5606.114850538099, 1.895]","[0.0, 0.0, 0.0]","[-2.51799515316284, 30.7380805774713, 0.0]","[0.0, 0.0, 0.0]",,,,,
84,3,10805.670756117208,"[3853.5873140583844, 5247.215126140976, 1.895]",,"[12.062131188983306, -4.818241963705452, 0.0]","[0.0, 0.0, 0.0]",10805.6706378737,43.0,1009.0,"[0.0, 0.0, 0.0]",2.2534984104546233e-09
85,2,10805.699999999999,"[3594.9709485982935, 5609.186098553664, 1.895]","[0.0, 0.0, 0.0]","[-2.5189208475686673, 30.749380864965545, 0.0]","[0.0, 0.0, 0.0]",,,,,
86,2,10805.8,"[3594.7194229708375, 5612.256563162911, 1.895]","[0.0, 0.0, 0.0]","[-2.518278327489709, 30.741537389239124, 0.0]","[0.0, 0.0, 0.0]",,,,,
87,3,10805.870118669667,"[3645.154262273462, 5218.35062608131, 1.895]",,"[6.248190670164705, -39.686656599992176, 0.0]","[0.0, 0.0, 0.0]",10805.870012145257,19.0,1029.0,"[0.0, 0.0, 0.0]",5.531704587413733e-09
88,2,10805.9,"[3594.468683404141, 5615.317432043218, 1.895]","[0.0, 0.0, 0.0]","[-2.510408275461113, 30.64546480820178, 0.0]","[0.0, 0.0, 0.0]",,,,,
89,2,10806.0,"[3594.2176592297687, 5618.381775232696, 1.895]","[0.0, 0.0, 0.0]","[-2.5132577717460842, 30.680249643353772, 0.0]","[0.0, 0.0, 0.0]",,,,,
90,3,10806.068193540148,"[3460.9746238263683, 6106.5980358013185, 1.895]",,"[-3.702477897933404, -32.14729983117567, 0.0]","[0.0, 0.0, 0.0]",10806.068074076204,49.0,1058.0,"[0.0, 0.0, 0.0]",4.650476598819963e-09
91,2,10806.1,"[3593.9667797975576, 5621.444351502094, 1.895]","[0.0, 0.0, 0.0]","[-2.511808611075378, 30.662559213205977, 0.0]","[0.0, 0.0, 0.0]",,,,,
92,2,10806.199999999999,"[3593.715770209391, 5624.508516632469, 1.895]","[0.0, 0.0, 0.0]","[-2.513111734440469, 30.67846691296938, 0.0]","[0.0, 0.0, 0.0]",,,,,
93,2,10806.3,"[3593.4647134011148, 5627.573258195859, 1.895]","[0.0, 0.0, 0.0]","[-2.51358450288208, 30.68423816889671, 0.0]","[0.0, 0.0, 0.0]",,,,,
94,3,10806.392901551832,"[3584.4157817031723, 5774.86769348827, 1.895]",,"[-0.037707722490183004, 38.905667826790285, 0.0]","[0.0, 0.0, 0.0]",10806.392784793165,13.0,1079.0,"[0.0, 0.0, 0.0]",2.017331376324303e-09
95,2,10806.4,"[3593.2135577479044, 5630.639206395232, 1.895]","[0.0, 0.0, 0.0]","[-2.514574139833162, 30.6963190263213, 0.0]","[0.0, 0.0, 0.0]",,,,,
96,3,10806.456265344588,"[3609.9127411706413, 5512.987561853178, 1.895]",,"[2.507657574800107, -29.78776684894064, 0.0]","[0.0, 0.0, 0.0]",10806.456150335958,31.0,1143.0,"[0.0, 0.0, 0.0]",2.0744588950770183e-08
97,2,10806.5,"[3592.962364708957, 5633.705610975858, 1.895]","[0.0, 0.0, 0.0]","[-2.514948446387396, 30.700888322226998, 0.0]","[0.0, 0.0, 0.0]",,,,,
98,3,10806.582125367682,"[3608.768657155875, 5565.874205991551, 1.895]",,"[2.698335529628585, -32.05057841298574, 0.0]","[0.0, 0.0, 0.0]",10806.58201979124,25.0,1170.0,"[0.0, 0.0, 0.0]",3.8465853570978265e-09
99,2,10806.6,"[3592.7117619658843, 5636.764809600533, 1.895]","[0.0, 0.0, 0.0]","[-2.509038395301814, 30.628742183949967, 0.0]","[0.0, 0.0, 0.0]",,,,,
100,2,10806.699999999999,"[3592.4601407856217, 5639.836440657565, 1.895]","[0.0, 0.0, 0.0]","[-2.519235003614936, 30.753215881824882, 0.0]","[0.0, 0.0, 0.0]",,,,,
101,2,10806.8,"[3592.209236874057, 5642.908277463865, 1.895]","[0.0, 0.0, 0.0]","[-2.514360119647951, 30.755233546653265, 0.0]","[0.0, 0.0, 0.0]",,,,,
102,2,10806.9,"[3592.081015954353, 5645.979268887464, 1.895]","[0.0, 0.0, 0.0]","[-1.667491476586532, 30.728389565931494, 0.0]","[0.0, 0.0, 0.0]",,,,,
103,2,10807.0,"[3591.952845236425, 5649.049057939217, 1.895]","[0.0, 0.0, 0.0]","[-1.283247136449083, 30.734773697550146, 0.0]","[0.0, 0.0, 0.0]",,,,,
104,3,10807.06818512691,"[3709.2562618311167, 5923.411693570368, 1.895]",,"[-3.705587567007226, -32.174299982619985, 0.0]","[0.0, 0.0, 0.0]",10807.068074076204,49.0,1225.0,"[0.0, 0.0, 0.0]",1.855816349904818e-09
105,2,10807.1,"[3591.8242792557467, 5652.128313843351, 1.895]","[0.0, 0.0, 0.0]","[-1.287204512996046, 30.829555964548078, 0.0]","[0.0, 0.0, 0.0]",,,,,
106,2,10807.199999999999,"[3591.6957607715717, 5655.206432169025, 1.895]","[0.0, 0.0, 0.0]","[-1.286728977291797, 30.81816651208134, 0.0]","[0.0, 0.0, 0.0]",,,,,
107,2,10807.3,"[3591.567315354906, 5658.282800470642, 1.895]","[0.0, 0.0, 0.0]","[-1.285997424304304, 30.800645245151838, 0.0]","[0.0, 0.0, 0.0]",,,,,
108,2,10807.4,"[3591.4390525676604, 5661.3547946546505, 1.895]","[0.0, 0.0, 0.0]","[-1.2841689358281791, 30.75685151452743, 0.0]","[0.0, 0.0, 0.0]",,,,,
109,2,10807.5,"[3591.3106019675724, 5664.431287103293, 1.895]","[0.0, 0.0, 0.0]","[-1.286049320803251, 30.801888207017697, 0.0]","[0.0, 0.0, 0.0]",,,,,
110,3,10807.582136345898,"[3611.454690865074, 5533.969747457286, 1.895]",,"[2.67702159308707, -31.79741345744395, 0.0]","[0.0, 0.0, 0.0]",10807.58201979124,25.0,1331.0,"[0.0, 0.0, 0.0]",1.6735706821043921e-09
111,2,10807.6,"[3591.1825263974692, 5667.498797290148, 1.895]","[0.0, 0.0, 0.0]","[-1.28229451500997, 30.711957668263963, 0.0]","[0.0, 0.0, 0.0]",,,,,
112,2,10807.699999999999,"[3591.0543196571352, 5670.56944910674, 1.895]","[0.0, 0.0, 0.0]","[-1.283607793314796, 30.743411711958565, 0.0]","[0.0, 0.0, 0.0]",,,,,
113,2,10807.8,"[3590.9260636280133, 5673.641281428396, 1.895]","[0.0, 0.0, 0.0]","[-1.284101273394148, 30.755230946246296, 0.0]","[0.0, 0.0, 0.0]",,,,,
114,2,10807.9,"[3590.7978924713448, 5676.711080988333, 1.895]","[0.0, 0.0, 0.0]","[-1.2832515291243, 30.734878905642095, 0.0]","[0.0, 0.0, 0.0]",,,,,
115,2,10808.0,"[3590.6696989755806, 5679.78141558711, 1.895]","[0.0, 0.0, 0.0]","[-1.2834751884857951, 30.74023572247469, 0.0]","[0.0, 0.0, 0.0]",,,,,
116,3,10808.068189686735,"[3719.573694492604, 5889.471892754269, 1.895]",,"[-3.6929962904219673, -32.0649744026161, 0.0]","[0.0, 0.0, 0.0]",10808.068074076204,49.0,1378.0,"[0.0, 0.0, 0.0]",3.1585808619791663e-09
117,2,10808.1,"[3590.541424996587, 5682.853677822242, 1.895]","[0.0, 0.0, 0.0]","[-1.28428098777404, 30.759535246367232, 0.0]","[0.0, 0.0, 0.0]",,,,,
118,2,10808.199999999999,"[3590.4132000711274, 5685.9247651868245, 1.895]","[0.0, 0.0, 0.0]","[-1.283789863063756, 30.747772424931345, 0.0]","[0.0, 0.0, 0.0]",,,,,
119,2,10808.3,"[3590.2848343380842, 5688.99922500329, 1.895]","[0.0, 0.0, 0.0]","[-1.285199630688787, 30.781537463395694, 0.0]","[0.0, 0.0, 0.0]",,,,,
120,2,10808.4,"[3590.1562638087635, 5692.078589850967, 1.895]","[0.0, 0.0, 0.0]","[-1.287250054070182, 30.83064670893217, 0.0]","[0.0, 0.0, 0.0]",,,,,
121,3,10808.456268288217,"[3616.010229045259, 5453.41877885493, 1.895]",,"[3.677503746123922, -29.691351282252537, 0.0]","[0.0, 0.0, 0.0]",10808.456150335958,31.0,1454.0,"[0.0, 0.0, 0.0]",1.1328821043102419e-08
122,2,10808.5,"[3590.027824687892, 5695.154807363374, 1.895]","[0.0, 0.0, 0.0]","[-1.2859343907155671, 30.799135541346438, 0.0]","[0.0, 0.0, 0.0]",,,,,
123,3,10808.582128309492,"[3614.121030579344, 5502.299212362792, 1.895]",,"[2.65807023913566, -31.57231103811899, 0.0]","[0.0, 0.0, 0.0]",10808.58201979124,25.0,1476.0,"[0.0, 0.0, 0.0]",6.1628529135153005e-09
124,2,10808.6,"[3589.8994488361886, 5698.22950952968, 1.895]","[0.0, 0.0, 0.0]","[-1.285300938864868, 30.783963873612002, 0.0]","[0.0, 0.0, 0.0]",,,,,
125,2,10808.699999999999,"[3589.7710010469023, 5701.305934657416, 1.895]","[0.0, 0.0, 0.0]","[-1.286021179016106, 30.801214189105448, 0.0]","[0.0, 0.0, 0.0]",,,,,
126,2,10808.8,"[3589.6427431410443, 5704.377811928372, 1.895]","[0.0, 0.0, 0.0]","[-1.2841200633036252, 30.75568097929727, 0.0]","[0.0, 0.0, 0.0]",,,,,
127,2,10808.9,"[3589.514530268195, 5707.448610623512, 1.895]","[0.0, 0.0, 0.0]","[-1.283669192151554, 30.744882262174077, 0.0]","[0.0, 0.0, 0.0]",,,,,
128,2,10809.0,"[3589.386097632644, 5710.524672807415, 1.895]","[0.0, 0.0, 0.0]","[-1.285869459586703, 30.797580390050424, 0.0]","[0.0, 0.0, 0.0]",,,,,
129,3,10809.068181231149,"[3584.674934207759, 5720.030183954658, 1.895]",,"[-2.140879851639126, -32.25954698321503, 0.0]","[0.0, 0.0, 0.0]",10809.068074076204,49.0,1515.0,"[0.0, 0.0, 0.0]",2.5083881390800584e-08
130,2,10809.1,"[3589.2580670117673, 5713.591106425102, 1.895]","[0.0, 0.0, 0.0]","[-1.281844482688844, 30.701179041717708, 0.0]","[0.0, 0.0, 0.0]",,,,,
