,Unnamed: 0,type,rcvTime,sendTime,sender,messageID,RSSI,pos_0,pos_1,pos_2,spd_0,spd_1,spd_2,type_attack
38,38,3,10802.582132323316,10802.58201979124,25.0,521.0,2.881128424272722e-09,3599.907312274775,5696.761482470395,1.895,1.439896144434641,-33.56040398601323,0.0,1
40,40,3,10802.670747302518,10802.6706378737,43.0,549.0,2.2725860453197123e-09,3829.3667362201413,5262.327980580308,1.895,5.060284391720792,-3.481430226852285,0.0,1
43,43,3,10802.870122519931,10802.870012145257,19.0,573.0,1.2636524391687682e-08,3627.003043329184,5337.808701405376,1.895,4.940952624413968,-39.90182368532391,0.0,1
49,49,3,10803.39289933027,10803.392784793165,13.0,603.0,2.657969852846446e-09,3588.263021778535,5658.4090838301045,1.895,-1.620634026797085,38.77583958314621,0.0,1
51,51,3,10803.456262756155,10803.456150335958,31.0,659.0,1.3915845238560861e-08,3602.3790971430108,5602.477623842976,1.895,2.512383221802747,-29.84390149528553,0.0,1
53,53,3,10803.58213616369,10803.58201979124,25.0,689.0,2.6586320624373185e-08,3601.336889391266,5663.441589404483,1.895,1.423817363474826,-33.1856475240909,0.0,1
55,55,3,10803.670746161344,10803.6706378737,43.0,717.0,5.475727458603991e-09,3835.37483477866,5258.194462716815,1.895,6.940681231823946,-4.775126369369575,0.0,1
58,58,3,10803.870121474632,10803.870012145257,19.0,741.0,1.2539642621820181e-08,3632.6264555128014,5297.923544243891,1.895,6.251120541940336,-39.70526627774028,0.0,1
64,64,3,10804.392901241848,10804.392784793165,13.0,765.0,4.483333842127911e-09,3586.64159530315,5697.203883806994,1.895,-1.621225568545202,38.789993011627246,0.0,1
66,66,3,10804.456264291484,10804.456150335958,31.0,817.0,2.451456254e-06,3604.8903207624435,5572.647496941699,1.895,2.512135442474528,-29.84095819356318,0.0,1
68,68,3,10804.582137665624,10804.58201979124,25.0,847.0,3.16802267749547e-08,3603.3237298505082,5630.548546019835,1.895,2.755088564557343,-32.72468568251772,0.0,1
72,72,3,10804.870128356044,10804.870012145257,19.0,887.0,6.410092893505881e-09,3638.8903273693572,5258.137285392278,1.895,6.264281173056467,-39.788858708809975,0.0,1
78,78,3,10805.392903190806,10805.392784793165,13.0,907.0,2.244049461036279e-09,3585.0196044733407,5736.012186719338,1.895,-1.621549823375411,38.79775124279594,0.0,1
80,80,3,10805.456266580086,10805.456150335958,31.0,957.0,1.452820938322101e-07,3607.4017884206087,5542.81447117219,1.895,2.509995247896261,-29.815535417470507,0.0,1
82,82,3,10805.5821266196,10805.58201979124,25.0,985.0,2.693800293e-06,3606.059551231734,5598.052714148646,1.895,2.725295613140606,-32.370807777026926,0.0,1
84,84,3,10805.670756117208,10805.6706378737,43.0,1009.0,2.2534984104546233e-09,3853.5873140583844,5247.215126140976,1.895,12.062131188983306,-4.818241963705452,0.0,1
87,87,3,10805.870118669667,10805.870012145257,19.0,1029.0,5.531704587413733e-09,3645.154262273462,5218.35062608131,1.895,6.248190670164705,-39.686656599992176,0.0,1
90,90,3,10806.068193540148,10806.068074076204,49.0,1058.0,4.8115740787952046e-09,3609.8100292077647,6079.843509798986,1.895,-3.702477897933404,-32.14729983117567,0.0,1
94,94,3,10806.392901551832,10806.392784793165,13.0,1079.0,2.003417293319167e-09,3584.4157817031723,5774.86769348827,1.895,-0.037707722490183004,38.905667826790285,0.0,1
96,96,3,10806.456265344588,10806.456150335958,31.0,1143.0,1.9564851985863612e-08,3609.9127411706413,5512.987561853178,1.895,2.507657574800107,-29.78776684894064,0.0,1
98,98,3,10806.582125367682,10806.58201979124,25.0,1170.0,4.332107720116251e-09,3608.768657155875,5565.874205991551,1.895,2.698335529628585,-32.05057841298574,0.0,1
104,104,3,10807.06818512691,10807.068074076204,49.0,1233.0,1.713595103055875e-09,3606.1120505090475,6047.735274915747,1.895,-3.705587567007226,-32.174299982619985,0.0,1
110,110,3,10807.582136345898,10807.58201979124,25.0,1331.0,1.519955301116025e-09,3611.454690865074,5533.969747457286,1.895,2.67702159308707,-31.79741345744395,0.0,1
116,116,3,10808.068189686735,10808.068074076204,49.0,1386.0,3.495145615782871e-09,3606.1120505090475,6047.735274915747,1.895,-3.6929962904219673,-32.0649744026161,0.0,1
121,121,3,10808.456268288215,10808.456150335958,31.0,1454.0,1.1324848196926242e-08,3616.010229045259,5453.41877885493,1.895,3.677503746123922,-29.691351282252537,0.0,1
123,123,3,10808.582128309492,10808.58201979124,25.0,1476.0,6.0955897924276905e-09,3614.121030579344,5502.299212362792,1.895,2.65807023913566,-31.57231103811899,0.0,1
129,129,3,10809.068181231149,10809.068074076204,49.0,1523.0,2.178012660162718e-08,3606.1120505090475,6047.735274915747,1.895,-2.140879851639126,-32.25954698321503,0.0,1
133,133,3,10809.39290224264,10809.392784793165,13.0,1547.0,5.546909200224939e-09,3584.6276482153576,5891.452273086082,1.895,1.655923623283511,38.79711963842775,0.0,1
135,135,3,10809.456267248695,10809.456150335958,31.0,1595.0,1.2931887052693412e-08,3619.6917626302666,5423.694891545467,1.895,3.676236243922362,-29.68111775003667,0.0,1
137,137,3,10809.582127269605,10809.58201979124,25.0,1615.0,1.2669885428080441e-08,3617.168449393162,5470.892022454396,1.895,3.868788020185736,-31.2281622537075,0.0,1
140,140,3,10809.752619157089,10809.752508162102,61.0,1653.0,1.546637678633975e-09,3606.329015030711,6078.442203859725,1.895,-3.584228525497044,-31.101758583051392,0.0,1
144,144,3,10810.068188094108,10810.068074076204,49.0,1686.0,2.6231590707697213e-08,3606.1120505090475,6047.735274915747,1.895,-2.141590472775269,-32.270254877873924,0.0,1
149,149,3,10810.456260418976,10810.456150335958,31.0,1769.0,5.168319468874057e-09,3623.370838316425,5393.990848767289,1.895,3.684743397272883,-29.749802623253508,0.0,1
151,151,3,10810.582133439812,10810.58201979124,25.0,1790.0,2.05555123558299e-09,3621.022575161762,5439.782211262866,1.895,3.853114047622987,-31.101644761460356,0.0,1
154,154,3,10810.75261505738,10810.752508162102,61.0,1829.0,1.4778433901695093e-08,3602.746652939005,6047.356641055703,1.895,-3.575568575345675,-31.026612794489772,0.0,1
158,158,3,10811.068183994286,10811.068074076204,49.0,1862.0,1.4793820927902381e-09,3606.1120505090475,6047.735274915747,1.895,-1.264056954836808,-32.285830398929306,0.0,1
162,162,3,10811.392892261496,10811.392784793165,13.0,1887.0,9.118797477631961e-09,3589.1626570628237,5969.03450871884,1.895,2.882762211234023,38.7704133659448,0.0,1
167,167,3,10811.752617811328,10811.752508162102,61.0,1993.0,2.9392494154878613e-08,3599.1624689852924,6016.255269239537,1.895,-3.573241467322013,-31.00641956421738,0.0,1
171,171,3,10812.068186748496,10812.068074076204,49.0,2026.0,4.9390964956639345e-08,3606.1120505090475,6047.735274915747,1.895,-1.264312947455506,-32.292368818212076,0.0,1
175,175,3,10812.3928954873,10812.392784793165,13.0,2051.0,1.282168874562811e-08,3592.0433638806035,6007.777278995266,1.895,2.885794192183747,38.811190629598514,0.0,1
178,178,3,10812.582132902942,10812.58201979124,25.0,2114.0,5.6517736840915026e-09,3628.6679040107692,5378.070489521054,1.895,3.806090333245026,-30.722077782162152,0.0,1
181,181,3,10812.752625409848,10812.752508162102,61.0,2153.0,7.489472623370208e-09,3596.6745090507043,5985.050791313529,1.895,-2.073443511273297,-31.23503207626775,0.0,1
185,185,3,10813.068181349632,10813.068074076204,49.0,2186.0,2.190995023103909e-07,3606.1120505090475,6047.735274915747,1.895,-0.018880067373202,-32.40527563540063,0.0,1
189,189,3,10813.392890559726,10813.392784793165,13.0,2211.0,8.039030307002254e-09,3596.1129651403676,6046.435887419441,1.895,4.084638355084353,38.65489588513223,0.0,1
191,191,3,10813.456257181604,10813.456150335958,31.0,2269.0,2.0473468586809183e-09,3634.8602939145794,5304.963701156254,1.895,4.657044367540613,-29.582815925626107,0.0,1
193,193,3,10813.582130202136,10813.58201979124,25.0,2290.0,3.8203827942713136e-09,3632.4644460729223,5347.425483668742,1.895,3.7962315244977303,-30.64249924811416,0.0,1
196,196,3,10813.752615282245,10813.752508162102,61.0,2329.0,6.330036614904354e-08,3594.5991699083906,5953.787202830492,1.895,-2.071028053292131,-31.198644826212284,0.0,1
200,200,3,10814.068184502989,10814.068074076204,49.0,2362.0,1.9003822287120282e-08,3606.1120505090475,6047.735274915747,1.895,-0.018841480657512,-32.33904636688297,0.0,1
206,206,3,10814.58213070776,10814.58201979124,25.0,2427.0,1.757086044142945e-09,3636.3241586280546,5316.89671106465,1.895,4.307119972974389,-30.478126163277203,0.0,1
209,209,3,10814.752619993606,10814.752508162102,61.0,2462.0,2.386210829023746e-07,3592.7404941118975,5922.527675250938,1.895,-1.222356127910655,-31.2882648652568,0.0,1
213,213,3,10815.068189633568,10815.068074076204,49.0,2490.0,5.872948810961981e-08,3606.1120505090475,6047.735274915747,1.895,-0.018858533199464,-32.36831492357987,0.0,1
221,221,3,10815.752625338073,10815.752508162102,61.0,2591.0,6.805907225920231e-07,3591.5183931636902,5891.245942140201,1.895,-1.219627614401835,-31.21842396422716,0.0,1
225,225,3,10816.068182230512,10816.068074076204,49.0,2619.0,1.180680319977906e-08,3606.1120505090475,6047.735274915747,1.895,-0.01883275626299,-32.32407202861638,0.0,1
233,233,3,10816.752620750356,10816.752508162102,61.0,2750.0,2.0376681207615212e-08,3591.2259319411296,5859.949316352853,1.895,-0.018196104412433002,-31.26318189457397,0.0,1
237,237,3,10817.068190649905,10817.068074076204,49.0,2779.0,8.871875429835397e-09,3606.1120505090475,6047.735274915747,1.895,1.38457080132964,-32.241619160028876,0.0,1
248,248,3,10818.06818648966,10818.068074076204,49.0,2936.0,1.3794000905248571e-08,3606.1120505090475,6047.735274915747,1.895,1.387057542661145,-32.29952632294383,0.0,1
256,256,3,10818.752625836623,10818.752508162102,61.0,3071.0,3.2119285342640763e-09,3591.18950092431,5797.356275580084,1.895,-0.018192008508085,-31.256144614860876,0.0,1
260,260,3,10819.068182749712,10819.068074076204,49.0,3104.0,1.3715813181158222e-09,3606.1120505090475,6047.735274915747,1.895,1.38494806228523,-32.25040419583322,0.0,1
271,271,3,10820.068192429644,10820.068074076204,49.0,3242.0,2.4105723962916e-09,3606.1120505090475,6047.735274915747,1.895,2.712745690253487,-32.22395152905128,0.0,1
279,279,3,10820.75261960324,10820.752508162102,61.0,3339.0,2.084065681388622e-09,3591.6720395129255,5734.757243984996,1.895,1.344409627191814,-31.278101530588238,0.0,1
288,5,3,10800.43769866484,10800.437587209975,7.0,71.0,4.67637244351708e-08,3609.398493800021,5446.803263828545,1.895,-3.5340577256506718,30.622234229193285,0.0,1
289,6,3,10800.456257637588,10800.456150335958,31.0,104.0,2.072102802876626e-09,3596.8058614714364,5692.1134167356,1.895,1.2824674250276291,-29.864002810956773,0.0,1
291,8,3,10800.582131121126,10800.58201979124,25.0,137.0,1.1118575138555871e-08,3597.77049261071,5764.800892637684,1.895,-0.020161171020262002,-34.568847861282705,0.0,1
295,12,3,10800.870128008475,10800.870012145257,19.0,193.0,2.558748406248201e-09,3617.100033807479,5417.782781289675,1.895,4.9379503396949564,-39.87757802978829,0.0,1
297,14,3,10800.902716198256,10800.90259847138,37.0,228.0,1.610332682555116e-09,3592.5475914203594,6044.106465394882,1.895,4.097280715384571,38.74899052793157,0.0,1
303,20,3,10801.437693916823,10801.437587209975,7.0,284.0,2.7819452914418714e-08,3605.873369762498,5477.348088600482,1.895,-3.533871393396689,30.620619680001727,0.0,1
304,21,3,10801.456265431936,10801.456150335958,31.0,317.0,5.204709484344719e-08,3598.0910889609227,5662.1851420599705,1.895,1.282719421597081,-29.869870894753344,0.0,1
307,24,3,10801.670756476708,10801.6706378737,43.0,381.0,4.092731234734347e-09,3825.1961086986253,5265.1973348684,1.895,3.057783376452038,-2.2014119284437212,0.0,1
310,27,3,10801.87011867768,10801.870012145257,19.0,410.0,2.494387621558006e-08,3622.053411372471,5377.780617077725,1.895,4.947129899297883,-39.95170971986224,0.0,1
317,34,3,10802.437700450528,10802.437587209975,7.0,467.0,1.231650123033442e-08,3603.260815074918,5507.988690204909,1.895,-2.516746861911964,30.722842233147297,0.0,1
318,35,3,10802.456258520437,10802.456150335958,31.0,493.0,3.55065293319571e-07,3599.8680687225988,5632.305432029379,1.895,2.507947203533661,-29.791207268132045,0.0,1
320,37,3,10802.582131937424,10802.58201979124,25.0,521.0,2.8264377377179025e-08,3599.907312274775,5696.761482470395,1.895,1.439896144434641,-33.56040398601323,0.0,1
324,41,3,10802.870122918412,10802.870012145257,19.0,573.0,4.2719994057236654e-09,3627.003043329184,5337.808701405376,1.895,4.940952624413968,-39.90182368532391,0.0,1
331,48,3,10803.437704744792,10803.437587209975,7.0,631.0,6.359354912207042e-09,3600.748307296057,5538.659784412973,1.895,-2.513008561419944,30.677207442506138,0.0,1
332,49,3,10803.456262748316,10803.456150335958,31.0,659.0,5.6386192343957436e-08,3602.3790971430108,5602.477623842976,1.895,2.512383221802747,-29.84390149528553,0.0,1
334,51,3,10803.582135803266,10803.58201979124,25.0,689.0,2.873841281544046e-07,3601.336889391266,5663.441589404483,1.895,1.423817363474826,-33.1856475240909,0.0,1
344,61,3,10804.456264699476,10804.456150335958,31.0,817.0,8.631120781585044e-09,3604.8903207624435,5572.647496941699,1.895,2.512135442474528,-29.84095819356318,0.0,1
346,63,3,10804.582137725423,10804.58201979124,25.0,847.0,1.4287200554519172e-08,3603.3237298505082,5630.548546019835,1.895,2.755088564557343,-32.72468568251772,0.0,1
356,73,3,10805.456267047122,10805.456150335958,31.0,957.0,6.4721943493165824e-09,3607.4017884206087,5542.81447117219,1.895,2.509995247896261,-29.815535417470507,0.0,1
363,80,3,10806.068193059584,10806.068074076204,49.0,1058.0,6.020980437228567e-09,3609.8100292077647,6079.843509798986,1.895,-3.702477897933404,-32.14729983117567,0.0,1
368,85,3,10806.437694046752,10806.437587209975,7.0,1112.0,2.712610476093266e-09,3593.2135577479044,5630.639206395232,1.895,-2.514574139833162,30.6963190263213,0.0,1
369,86,3,10806.456265838771,10806.456150335958,31.0,1143.0,6.255943772078336e-09,3609.9127411706413,5512.987561853178,1.895,2.507657574800107,-29.78776684894064,0.0,1
371,88,3,10806.582125862948,10806.58201979124,25.0,1170.0,2.3449687886954385e-08,3608.768657155875,5565.874205991551,1.895,2.698335529628585,-32.05057841298574,0.0,1
377,94,3,10807.068184618896,10807.068074076204,49.0,1233.0,1.1844385737968812e-08,3606.1120505090475,6047.735274915747,1.895,-3.705587567007226,-32.174299982619985,0.0,1
382,99,3,10807.437704648612,10807.437587209975,7.0,1277.0,4.776159895900838e-09,3591.4390525676604,5661.3547946546505,1.895,-1.2841689358281791,30.75685151452743,0.0,1
383,100,3,10807.456263844924,10807.456150335958,31.0,1305.0,5.7913344495836555e-09,3612.424136365454,5483.155396855679,1.895,2.508756237362614,-29.800817555937677,0.0,1
390,107,3,10808.06818915166,10808.068074076204,49.0,1386.0,3.675720079157375e-09,3606.1120505090475,6047.735274915747,1.895,-3.6929962904219673,-32.0649744026161,0.0,1
396,113,3,10808.582128859696,10808.58201979124,25.0,1476.0,1.646170561292358e-09,3614.121030579344,5502.299212362792,1.895,2.65807023913566,-31.57231103811899,0.0,1
402,119,3,10809.0681806697,10809.068074076204,49.0,1523.0,2.868831292972812e-08,3606.1120505090475,6047.735274915747,1.895,-2.140879851639126,-32.25954698321503,0.0,1
407,124,3,10809.43769481828,10809.437587209975,7.0,1571.0,2.169936575140214e-09,3588.873085163223,5722.811723137665,1.895,-1.2819627450792521,30.704011518648137,0.0,1
411,128,3,10809.752618576238,10809.752508162102,61.0,1653.0,2.375162690771493e-09,3606.329015030711,6078.442203859725,1.895,-3.584228525497044,-31.101758583051392,0.0,1
415,132,3,10810.068187508736,10810.068074076204,49.0,1686.0,2.149374520520328e-07,3606.1120505090475,6047.735274915747,1.895,-2.141590472775269,-32.270254877873924,0.0,1
420,137,3,10810.43769469662,10810.437587209975,7.0,1740.0,5.0985098962597275e-09,3587.736528964142,5753.527569958904,1.895,-0.28607726155537805,30.810100803636978,0.0,1
422,139,3,10810.58213404303,10810.58201979124,25.0,1790.0,1.6572554328497671e-09,3621.022575161762,5439.782211262866,1.895,3.853114047622987,-31.101644761460356,0.0,1
425,142,3,10810.7526144494,10810.752508162102,61.0,1829.0,6.936856714048442e-08,3602.746652939005,6047.356641055703,1.895,-3.575568575345675,-31.026612794489772,0.0,1
429,146,3,10811.068183635029,10811.068074076204,49.0,1862.0,5.2432130077900314e-08,3606.1120505090475,6047.735274915747,1.895,-1.264056954836808,-32.285830398929306,0.0,1
434,151,3,10811.437697890677,10811.437587209975,7.0,1912.0,2.659458971691647e-09,3587.7066741397925,5784.298707763248,1.895,-0.029815722442925,30.730835769973197,0.0,1
438,155,3,10811.752617177272,10811.752508162102,61.0,1993.0,2.89226766667426e-07,3599.1624689852924,6016.255269239537,1.895,-3.573241467322013,-31.00641956421738,0.0,1
442,159,3,10812.068186834056,10812.068074076204,49.0,2026.0,4.9929058439003745e-08,3606.1120505090475,6047.735274915747,1.895,-1.264312947455506,-32.292368818212076,0.0,1
447,164,3,10812.437701143204,10812.437587209975,7.0,2076.0,1.3910633762545582e-08,3587.6768229632257,5815.066085826094,1.895,-0.02989665706919,30.81425446668914,0.0,1
451,168,3,10812.75262500055,10812.752508162102,61.0,2153.0,1.230960408303238e-07,3596.6745090507043,5985.050791313529,1.895,-2.073443511273297,-31.23503207626775,0.0,1
455,172,3,10813.068181879671,10813.068074076204,49.0,2186.0,1.2469780107270522e-08,3606.1120505090475,6047.735274915747,1.895,-0.018880067373202,-32.40527563540063,0.0,1
460,177,3,10813.437696242445,10813.437587209975,7.0,2236.0,2.5521991546086362e-08,3587.6469919709716,5845.812660073549,1.895,-0.029878010806832004,30.79503590751018,0.0,1
464,181,3,10813.752615312746,10813.752508162102,61.0,2329.0,3.9716106375770435e-08,3594.5991699083906,5953.787202830492,1.895,-2.071028053292131,-31.198644826212284,0.0,1
468,185,3,10814.068185199192,10814.068074076204,49.0,2362.0,6.7122307150087595e-09,3606.1120505090475,6047.735274915747,1.895,-0.018841480657512,-32.33904636688297,0.0,1
474,4,3,10816.456266187652,10816.456150335958,31.0,2686.0,6.625788228981352e-07,3648.829928950166,5216.224769509742,1.895,4.656500993458658,-29.579364265260704,0.0,1
476,6,3,10816.58212645484,10816.58201979124,25.0,2711.0,1.269175773592831e-07,3645.8497808324396,5256.385948034099,1.895,4.754562689788641,-30.202984126680505,0.0,1
486,16,3,10817.456260682917,10817.456150335958,31.0,2846.0,1.254113412551797e-07,3653.484801712205,5186.655748214518,1.895,4.654221138694702,-29.56488200603384,0.0,1
488,18,3,10817.582133741547,10817.58201979124,25.0,2871.0,1.3493645740000002e-06,3650.5909455678006,5226.268073355199,1.895,4.740527274158122,-30.113825256920958,0.0,1
496,26,3,10818.275167356138,10818.275061709852,73.0,2961.0,1.676028887434455e-08,3643.275035549554,5195.996977614745,1.895,-4.843170784895325,31.04759779858501,0.0,1
500,30,3,10818.582137723664,10818.58201979124,25.0,3028.0,1.577566454870536e-07,3655.3238531280963,5196.202651729016,1.895,4.734727146115101,-30.076980401452094,0.0,1
506,36,3,10819.068182870284,10819.068074076204,49.0,3104.0,3.862424525589571e-09,3606.1120505090475,6047.735274915747,1.895,1.38494806228523,-32.25040419583322,0.0,1
509,39,3,10819.275169252624,10819.275061709852,73.0,3129.0,8.304351188271236e-09,3638.44653909762,5226.950504233943,1.895,-4.833457712586158,30.9853312430867,0.0,1
515,45,3,10819.752623195389,10819.752508162102,61.0,3210.0,3.050565160068827e-09,3591.171281160329,5766.052443590187,1.895,-0.018171552392194,-31.22099845479873,0.0,1
521,51,3,10820.275172443748,10820.275061709852,73.0,3266.0,1.4346263691677871e-08,3633.6419417854727,5257.750823189657,1.895,-4.797070023116124,30.75206456768613,0.0,1
527,57,3,10820.752619878347,10820.752508162102,61.0,3339.0,3.510723186928005e-09,3591.6720395129255,5734.757243984996,1.895,1.344409627191814,-31.278101530588238,0.0,1
531,61,3,10821.068188816074,10821.068074076204,49.0,3375.0,1.3540713243667093e-08,3606.1120505090475,6047.735274915747,1.895,2.7165397637689033,-32.26902027302155,0.0,1
534,64,3,10821.275169119188,10821.275061709852,73.0,3404.0,1.1575398932553229e-07,3628.8627113216903,5288.388525599216,1.895,-4.77738810439008,30.625891792932972,0.0,1
540,70,3,10821.752623578235,10821.752508162102,61.0,3461.0,5.222274498160923e-09,3593.017317947,5703.45892939633,1.895,1.343860057738824,-31.265315629028866,0.0,1
544,74,3,10822.068192516042,10822.068074076204,49.0,3494.0,8.336976756518134e-09,3606.1120505090475,6047.735274915747,1.895,2.709881378329772,-32.18992716439828,0.0,1
547,77,3,10822.275172812828,10822.275061709852,73.0,3531.0,2.7889971950102865e-08,3624.1573146664423,5318.919651108328,1.895,-4.471524691553273,30.555201749979236,0.0,1
553,83,3,10822.752626863708,10822.752508162102,61.0,3592.0,1.40986286707832e-08,3594.3617674178395,5672.179900891088,1.895,1.345585177215623,-31.305451061699316,0.0,1
557,87,3,10823.068182801651,10823.068074076204,49.0,3621.0,2.867141969947285e-09,3606.1120505090475,6047.735274915747,1.895,2.717524627485579,-32.28071919518108,0.0,1
560,90,3,10823.275176092551,10823.275061709852,73.0,3658.0,7.181856924453439e-08,3620.6276229660034,5349.504054193513,1.895,-3.526459778822288,30.556398828186,0.0,1
566,96,3,10823.752616735246,10823.752508162102,61.0,3719.0,5.6007624106121494e-09,3595.8357857061696,5640.912589252547,1.895,2.022284650480359,-31.26251550681803,0.0,1
570,100,3,10824.068185673685,10824.068074076204,49.0,3752.0,1.292528172665992e-07,3606.1120505090475,6047.735274915747,1.895,2.708995533075764,-32.1794044549768,0.0,1
573,103,3,10824.27517895932,10824.275061709852,73.0,3789.0,2.2676987133059493e-08,3617.1147795995453,5379.942468257132,1.895,-3.512133391317014,30.432262204536638,0.0,1
579,109,3,10824.752619193914,10824.752508162102,61.0,3850.0,5.6972609294547586e-09,3598.4603750779643,5609.733686483112,1.895,2.621897141870396,-31.14692032829955,0.0,1
583,113,3,10825.068188135265,10825.068074076204,49.0,3884.0,5.657556610069891e-07,3606.1120505090475,6047.735274915747,1.895,3.981179014746676,-32.1431581868712,0.0,1
586,116,3,10825.275168413857,10825.275061709852,73.0,3921.0,1.7587912383171714e-07,3613.607956595129,5410.328716524121,1.895,-3.505813301361517,30.377499297422272,0.0,1
592,122,3,10825.752621240472,10825.752508162102,61.0,3982.0,1.693947412517238e-08,3601.0862621364754,5578.539367798186,1.895,2.6232428984914202,-31.162907291955722,0.0,1
596,126,3,10826.068182581575,10826.068074076204,49.0,4013.0,1.263159345248023e-08,3606.1120505090475,6047.735274915747,1.895,3.973046455493239,-32.077497703487,0.0,1
599,129,3,10826.275175602224,10826.275061709852,73.0,4047.0,1.6660503271557408e-07,3610.114229926056,5440.601486438592,1.895,-3.505601137629306,30.375660921273354,0.0,1
605,135,3,10826.752615021194,10826.752508162102,61.0,4109.0,2.065104743063883e-07,3603.711447437917,5547.353385661323,1.895,2.621709962042922,-31.144696718906438,0.0,1
609,139,3,10827.068190155924,10827.068074076204,49.0,4139.0,5.1235695308414975e-08,3606.1120505090475,6047.735274915747,1.895,3.981121569426893,-32.14269438607399,0.0,1
612,142,3,10827.275170156465,10827.275061709852,73.0,4173.0,2.173111369060464e-07,3606.629128798432,5470.799516954015,1.895,-3.485596113312022,30.202319513753412,0.0,1
618,148,3,10827.752622241824,10827.752508162102,61.0,4236.0,2.435951393e-06,3606.336051237598,5516.174311495301,1.895,2.620364463475049,-31.128712820797144,0.0,1
622,152,3,10828.068185123995,10828.068074076204,49.0,4270.0,1.30281134281939e-09,3606.1120505090475,6047.735274915747,1.895,3.979241656526914,-32.12751638538556,0.0,1
625,155,3,10828.275178124144,10828.275061709852,73.0,4308.0,3.084353782584662e-07,3603.831806834795,5501.018386587717,1.895,-2.482157224789968,30.300593980740185,0.0,1
631,161,3,10828.752617523349,10828.752508162102,61.0,4367.0,1.309109649091917e-08,3608.962419961827,5484.974270845352,1.895,2.62409403022774,-31.173018341654558,0.0,1
635,165,3,10829.068187507932,10829.068074076204,49.0,4405.0,3.7567969416233354e-09,3606.1120505090475,6047.735274915747,1.895,3.9770733381143613,-32.11000986244952,0.0,1
638,168,3,10829.275167507943,10829.275061709852,73.0,4444.0,6.546651915297631e-08,3601.3581175227255,5531.215609685015,1.895,-2.4717328414715682,30.173339750719702,0.0,1
647,177,3,10830.068183305028,10830.068074076204,49.0,4560.0,1.618312203330577e-08,3606.1120505090475,6047.735274915747,1.895,5.01793894341653,-31.875316697396947,0.0,1
650,180,3,10830.275176304996,10830.275061709852,73.0,4601.0,3.05273590122878e-08,3598.8889268149915,5561.3579166867175,1.895,-2.472975620180874,30.188510801438174,0.0,1
656,186,3,10830.752616520484,10830.752508162102,61.0,4694.0,1.4340241355925973e-08,3616.4782168576776,5422.804410149855,1.895,3.845927494518289,-31.058690997093226,0.0,1
660,190,3,10831.068186518623,10831.068074076204,49.0,4721.0,3.8531674375009315e-09,3606.1120505090475,6047.735274915747,1.895,5.030760437039084,-31.956762321651915,0.0,1
662,192,3,10831.189197287758,10831.189088077565,91.0,4759.0,4.213582533334167e-09,3605.8253662936186,6045.246097752693,1.895,-4.385780511104852,-38.08017359475903,0.0,1
664,194,3,10831.275179518609,10831.275061709852,73.0,4786.0,1.423446742006337e-07,3596.421904697867,5591.473750915895,1.895,-2.4624644120016,30.060196668800792,0.0,1
666,196,3,10831.3973834317,10831.397268045694,97.0,4852.0,1.924562094190641e-09,3612.0118470120933,6070.133422509868,1.895,-3.642369056665247,-31.64458878285686,0.0,1
